lobster,/m/0cjq5,2004-01,29
lobster,/m/0cjq5,2004-02,25
lobster,/m/0cjq5,2004-03,22
lobster,/m/0cjq5,2004-04,24
lobster,/m/0cjq5,2004-05,28
lobster,/m/0cjq5,2004-06,60
lobster,/m/0cjq5,2004-07,48
lobster,/m/0cjq5,2004-08,28
lobster,/m/0cjq5,2004-09,20
lobster,/m/0cjq5,2004-10,31
lobster,/m/0cjq5,2004-11,29
lobster,/m/0cjq5,2004-12,27
lobster,/m/0cjq5,2004-13,26
lobster,/m/0cjq5,2004-14,26
lobster,/m/0cjq5,2004-15,28
lobster,/m/0cjq5,2004-16,21
lobster,/m/0cjq5,2004-17,37
lobster,/m/0cjq5,2004-18,35
lobster,/m/0cjq5,2004-19,35
lobster,/m/0cjq5,2004-20,30
lobster,/m/0cjq5,2004-21,36
lobster,/m/0cjq5,2004-22,34
lobster,/m/0cjq5,2004-23,27
lobster,/m/0cjq5,2004-24,33
lobster,/m/0cjq5,2004-25,37
lobster,/m/0cjq5,2004-26,40
lobster,/m/0cjq5,2004-27,46
lobster,/m/0cjq5,2004-28,38
lobster,/m/0cjq5,2004-29,38
lobster,/m/0cjq5,2004-30,44
lobster,/m/0cjq5,2004-31,40
lobster,/m/0cjq5,2004-32,40
lobster,/m/0cjq5,2004-33,31
lobster,/m/0cjq5,2004-34,34
lobster,/m/0cjq5,2004-35,34
lobster,/m/0cjq5,2004-36,27
lobster,/m/0cjq5,2004-37,26
lobster,/m/0cjq5,2004-38,24
lobster,/m/0cjq5,2004-39,29
lobster,/m/0cjq5,2004-40,30
lobster,/m/0cjq5,2004-41,30
lobster,/m/0cjq5,2004-42,25
lobster,/m/0cjq5,2004-43,19
lobster,/m/0cjq5,2004-44,24
lobster,/m/0cjq5,2004-45,22
lobster,/m/0cjq5,2004-46,23
lobster,/m/0cjq5,2004-47,30
lobster,/m/0cjq5,2004-48,22
lobster,/m/0cjq5,2004-49,31
lobster,/m/0cjq5,2004-50,37
lobster,/m/0cjq5,2004-51,75
lobster,/m/0cjq5,2004-52,63
lobster,/m/0cjq5,2005-01,28
lobster,/m/0cjq5,2005-02,24
lobster,/m/0cjq5,2005-03,27
lobster,/m/0cjq5,2005-04,19
lobster,/m/0cjq5,2005-05,28
lobster,/m/0cjq5,2005-06,33
lobster,/m/0cjq5,2005-07,65
lobster,/m/0cjq5,2005-08,29
lobster,/m/0cjq5,2005-09,70
lobster,/m/0cjq5,2005-10,34
lobster,/m/0cjq5,2005-11,27
lobster,/m/0cjq5,2005-12,24
lobster,/m/0cjq5,2005-13,28
lobster,/m/0cjq5,2005-14,25
lobster,/m/0cjq5,2005-15,23
lobster,/m/0cjq5,2005-16,17
lobster,/m/0cjq5,2005-17,30
lobster,/m/0cjq5,2005-18,30
lobster,/m/0cjq5,2005-19,32
lobster,/m/0cjq5,2005-20,27
lobster,/m/0cjq5,2005-21,30
lobster,/m/0cjq5,2005-22,32
lobster,/m/0cjq5,2005-23,32
lobster,/m/0cjq5,2005-24,40
lobster,/m/0cjq5,2005-25,37
lobster,/m/0cjq5,2005-26,39
lobster,/m/0cjq5,2005-27,40
lobster,/m/0cjq5,2005-28,30
lobster,/m/0cjq5,2005-29,34
lobster,/m/0cjq5,2005-30,37
lobster,/m/0cjq5,2005-31,35
lobster,/m/0cjq5,2005-32,39
lobster,/m/0cjq5,2005-33,34
lobster,/m/0cjq5,2005-34,30
lobster,/m/0cjq5,2005-35,30
lobster,/m/0cjq5,2005-36,26
lobster,/m/0cjq5,2005-37,24
lobster,/m/0cjq5,2005-38,24
lobster,/m/0cjq5,2005-39,28
lobster,/m/0cjq5,2005-40,20
lobster,/m/0cjq5,2005-41,30
lobster,/m/0cjq5,2005-42,20
lobster,/m/0cjq5,2005-43,21
lobster,/m/0cjq5,2005-44,21
lobster,/m/0cjq5,2005-45,29
lobster,/m/0cjq5,2005-46,25
lobster,/m/0cjq5,2005-47,29
lobster,/m/0cjq5,2005-48,23
lobster,/m/0cjq5,2005-49,29
lobster,/m/0cjq5,2005-50,33
lobster,/m/0cjq5,2005-51,62
lobster,/m/0cjq5,2005-52,90
lobster,/m/0cjq5,2006-01,45
lobster,/m/0cjq5,2006-02,23
lobster,/m/0cjq5,2006-03,20
lobster,/m/0cjq5,2006-04,22
lobster,/m/0cjq5,2006-05,23
lobster,/m/0cjq5,2006-06,27
lobster,/m/0cjq5,2006-07,59
lobster,/m/0cjq5,2006-08,21
lobster,/m/0cjq5,2006-09,25
lobster,/m/0cjq5,2006-10,40
lobster,/m/0cjq5,2006-11,29
lobster,/m/0cjq5,2006-12,30
lobster,/m/0cjq5,2006-13,28
lobster,/m/0cjq5,2006-14,26
lobster,/m/0cjq5,2006-15,26
lobster,/m/0cjq5,2006-16,21
lobster,/m/0cjq5,2006-17,23
lobster,/m/0cjq5,2006-18,25
lobster,/m/0cjq5,2006-19,29
lobster,/m/0cjq5,2006-20,33
